year,region,country,score
2020,Europe and Central Asia,Georgia,56.0
2020,Europe and Central Asia,Armenia,49.0
2020,Europe and Central Asia,Belarus,47.0
2020,Europe and Central Asia,Montenegro,45.0
2020,Europe and Central Asia,Turkey,40.0
2020,Europe and Central Asia,Kazakhstan,38.0
2020,Europe and Central Asia,Serbia,38.0
2020,Europe and Central Asia,Albania,36.0
2020,Europe and Central Asia,Kosovo,36.0
2020,Europe and Central Asia,Bosnia and Herzegovina,35.0
