year,country,score
2013,Denmark,91.0
2013,New Zealand,91.0
2013,Finland,89.0
2013,Sweden,89.0
2013,Norway,86.0
2013,Singapore,86.0
2013,Switzerland,85.0
2013,Netherlands,83.0
2013,Australia,81.0
2013,Canada,81.0
